timeStamp,elapsed,label,responseCode,responseMessage,threadName,success,bytes,sentBytes,grpThreads,allThreads,Latency,SampleCount,ErrorCount,Hostname,IdleTime,Connect
07/09/2023 14:51:26,343,GetBasket,200,OK,10.187.48.7:1235-jmeter-injector-07_BasketV01 1-1,true,78830,669,10,10,329,1,0,jmeter-injector-07,0,0
07/09/2023 14:51:27,26,cisSession,200,OK,10.187.48.7:1235-jmeter-injector-07_BasketV01 1-2,true,660,508,10,10,26,1,0,jmeter-injector-07,0,0
07/09/2023 14:51:27,308,Localise,202,Accepted,10.187.48.7:1235-jmeter-injector-07_BasketV01 1-9,true,5470,779,10,10,308,1,0,jmeter-injector-07,0,54
07/09/2023 14:51:27,94,cisSession,200,OK,10.187.48.7:1235-jmeter-injector-07_BasketV01 1-10,true,660,508,10,10,94,1,0,jmeter-injector-07,0,62
07/09/2023 14:51:27,26,cisSession,200,OK,10.187.48.7:1235-jmeter-injector-07_BasketV01 1-5,true,660,478,10,10,26,1,0,jmeter-injector-07,0,0
07/09/2023 14:51:27,42,Count,200,OK,10.187.48.7:1235-jmeter-injector-07_BasketV01 1-7,true,108,704,10,10,42,1,0,jmeter-injector-07,0,0
07/09/2023 14:51:27,0,Debug Sampler,200,OK,10.187.48.7:1235-jmeter-injector-07_BasketV01 1-7,true,1320,0,10,10,0,1,0,jmeter-injector-07,0,0
07/09/2023 14:51:27,31,Count,200,OK,10.187.48.7:1235-jmeter-injector-07_BasketV01 1-1,true,108,704,10,10,31,1,0,jmeter-injector-07,0,0
07/09/2023 14:51:27,0,Debug Sampler,200,OK,10.187.48.7:1235-jmeter-injector-07_BasketV01 1-1,true,1317,0,10,10,0,1,0,jmeter-injector-07,0,0
07/09/2023 14:51:28,32,Count,200,OK,10.187.48.7:1235-jmeter-injector-07_BasketV01 1-4,true,108,704,10,10,32,1,0,jmeter-injector-07,0,0
07/09/2023 14:51:28,0,Debug Sampler,200,OK,10.187.48.7:1235-jmeter-injector-07_BasketV01 1-4,true,1319,0,10,10,0,1,0,jmeter-injector-07,0,0
07/09/2023 14:51:28,32,AddItemToBasket,400,Bad Request,10.187.48.7:1235-jmeter-injector-07_BasketV01 1-8,false,159,765,10,10,32,1,1,jmeter-injector-07,0,0
07/09/2023 14:51:27,462,Localise,202,Accepted,10.187.48.7:1235-jmeter-injector-07_BasketV01 1-3,true,2889,782,10,10,462,1,0,jmeter-injector-07,0,0
07/09/2023 14:51:28,34,Count,200,OK,10.187.48.7:1235-jmeter-injector-07_BasketV01 1-5,true,108,704,10,10,34,1,0,jmeter-injector-07,0,0
07/09/2023 14:51:28,34,Count,200,OK,10.187.48.7:1235-jmeter-injector-07_BasketV01 1-2,true,108,704,10,10,34,1,0,jmeter-injector-07,0,0
07/09/2023 14:51:28,348,GetBasket,200,OK,10.187.48.7:1235-jmeter-injector-07_BasketV01 1-9,true,79586,669,10,10,335,1,0,jmeter-injector-07,0,0
07/09/2023 14:51:28,24,cisSession,200,OK,10.187.48.7:1235-jmeter-injector-07_BasketV01 1-8,true,660,478,10,10,24,1,0,jmeter-injector-07,0,0
07/09/2023 14:51:28,63,Count,200,OK,10.187.48.7:1235-jmeter-injector-07_BasketV01 1-10,true,108,704,10,10,63,1,0,jmeter-injector-07,0,42
07/09/2023 14:51:29,37,Count,200,OK,10.187.48.7:1235-jmeter-injector-07_BasketV01 1-9,true,108,704,10,10,37,1,0,jmeter-injector-07,0,0
07/09/2023 14:51:29,0,Debug Sampler,200,OK,10.187.48.7:1235-jmeter-injector-07_BasketV01 1-9,true,1320,0,10,10,0,1,0,jmeter-injector-07,0,0
07/09/2023 14:51:27,1401,Localise,202,Accepted,10.187.48.7:1235-jmeter-injector-07_BasketV01 1-6,true,7003,782,10,10,1401,1,0,jmeter-injector-07,0,0
07/09/2023 14:51:28,434,GetBasket,200,OK,10.187.48.7:1235-jmeter-injector-07_BasketV01 1-3,true,78388,669,10,10,420,1,0,jmeter-injector-07,0,0
07/09/2023 14:51:29,21,cis,201,Created,10.187.48.7:1235-jmeter-injector-07_BasketV01 1-7,true,565,258,10,10,21,1,0,jmeter-injector-07,0,0
07/09/2023 14:51:29,23,cis,201,Created,10.187.48.7:1235-jmeter-injector-07_BasketV01 1-1,true,565,258,10,10,23,1,0,jmeter-injector-07,0,0
07/09/2023 14:51:29,63,cis,201,Created,10.187.48.7:1235-jmeter-injector-07_BasketV01 1-9,true,565,258,10,10,63,1,0,jmeter-injector-07,0,42
07/09/2023 14:51:29,394,GetBasket,200,OK,10.187.48.7:1235-jmeter-injector-07_BasketV01 1-2,true,77099,669,10,10,380,1,0,jmeter-injector-07,0,43
07/09/2023 14:51:29,49,AddItemToBasket,202,Accepted,10.187.48.7:1235-jmeter-injector-07_BasketV01 1-5,true,242,765,10,10,49,1,0,jmeter-injector-07,0,0
07/09/2023 14:51:29,24,Count,200,OK,10.187.48.7:1235-jmeter-injector-07_BasketV01 1-1,true,108,620,10,10,23,1,0,jmeter-injector-07,0,0
07/09/2023 14:51:30,36,Count,200,OK,10.187.48.7:1235-jmeter-injector-07_BasketV01 1-3,true,108,704,10,10,36,1,0,jmeter-injector-07,0,0
07/09/2023 14:51:30,0,Debug Sampler,200,OK,10.187.48.7:1235-jmeter-injector-07_BasketV01 1-3,true,1319,0,10,10,0,1,0,jmeter-injector-07,0,0
07/09/2023 14:51:30,23,cis,201,Created,10.187.48.7:1235-jmeter-injector-07_BasketV01 1-4,true,565,258,10,10,23,1,0,jmeter-injector-07,0,0
07/09/2023 14:51:30,22,Count,200,OK,10.187.48.7:1235-jmeter-injector-07_BasketV01 1-4,true,108,620,10,10,22,1,0,jmeter-injector-07,0,0
07/09/2023 14:51:30,26,cisSession,200,OK,10.187.48.7:1235-jmeter-injector-07_BasketV01 1-5,true,660,508,10,10,26,1,0,jmeter-injector-07,0,0
07/09/2023 14:51:30,154,GetBasket,200,OK,10.187.48.7:1235-jmeter-injector-07_BasketV01 1-10,true,69239,669,10,10,141,1,0,jmeter-injector-07,0,0
